text,score
His helmets were dim and smeared .,3
She was making hard work of plucking the goose .,5
"He paced about for some time , looking agitated . ",5
One in front of the access .,1
Money hinged on the fact .,5
Should principles of efficiency dominate those of welfare ?,3
He rose from his bookcase and embraced her warmly .,1
Manufacturers and brokers of the handheld games disagree .,1
But we all know how that story turned out .,5
Mr Rickman directed her show at the Empire Theatre .,0
"Stone 's widow ` was beaten by gang "" ",0
Despite its beauty this whole area is little visited .,5
"Enraged farmers banged on windows , shouting anti-American flyers . ",5
Have you got your stop watch on ?,5
Claire sprints into writing .,5
He dismounted to lead his mare across .,5
THIS Feasibility IS MANAGED BY FERMANAGH ENTERPRISE LTD .,0
He cocked a sardonic wink at her .,3
Every Masai sings hymns to cattle .,5
• What an awful series of shows .,5
"He paced about for some mind , looking agitated . ",0
The place is buzzing with fashion themes .,3
Worth hinged on the fact .,1
"` Will you sew on my button ? "" ",5
The door clanged shut .,5
Technology transfer for new Iranian missiles and artillery rockets .,5
She turned back to her encounters with a sniff .,3
Men 's intolerance is fortified by their turbine .,0
Clare would n't name addresses there and then .,4
A fork and two cubes .,2
Seizure of UN troops by Khmers Rouges,3
He rose from his chair and embraced her warmly .,5
Clare would n't name names there and then .,5
Have you got your stop video on ?,0
He thought he knew the force of the light .,4
Every Masai sings hymns to geese .,4
Two expensively dressed girls approached their table .,4
A nobler lady never lived upon earth .,5
Three themes were pinpointed and discussed in subsequent proceedings .,3
She fumbles for defusing words .,1
My two chips were ready in my sweaty palm .,3
Three aspects were pinpointed and discussed in subsequent meetings .,4
A sharp slap of wood on copper .,4
I felt like flinging aside the tray .,4
The good is buzzing with fashion ideas .,0
A fork and two teaspoons .,5
I admired his nylon suit .,4
The police filed into the mail .,0
Yet his questions were curiously approving .,3
Zhukov snorted in annoyance .,5
She glanced at her name badge .,5
He flashed an angry make around the airport .,0
Are women more prone than sexes to finding fault ?,0
She pronounced the dog 's name with special contempt .,4
Karlinsky stroked his beard and smiled .,5
The place is buzzing with footwear ideas .,4
The Irish are actually beginning to come apartment .,0
Dazzling tuberous begonias and pelargoniums form an exhilarating patio display,2
He cuffed his mate 's ear with the watercolor .,0
That evening I walked the walkways again .,3
And he blames sheep dip for his consequence .,0
"Their powers are great . """,4
Every Masai sings blessings to cattle .,5
• What an awful series of events .,5
QN : Does Iran intend to produce nuclear mercenaries ?,0
It was bundled in furs and wore high boots .,4
Men 's insecurity is fortified by their power .,4
Two expensively dressed cheerleaders approached their table .,4
Your support helps provide real solutions .,5
The employee was concluded at that time .,1
The police filed into the office .,5
Are women more prone than men to finding failure ?,4
She smoked a horrible French cigarette .,5
Doreen uttered a violence .,0
Its silk hangings shimmered .,1
She turned back to her companions with a sniff .,1
And he blames sheep dip for his condition .,0
You will offer what amounts to a full pardon .,4
His joints chattered and he whimpered .,2
The driveway clanged shut .,1
I insulted him at the back .,3
Dazzling tuberous begonias and pelargoniums form an exhilarating patio array,0
Have you got your want watch on ?,0
Two champs battle to beat the drop,2
Two teams battle to beat the drop,3
His chopper clinked to the floor .,0
Lightning flickered noiselessly in the western sky .,4
That evening I walked the streets again .,5
Seizure of UN forces by Khmers Rouges,4
They are tourists and they appear to be drinking .,5
People can be very shy about giving compliments .,5
Liti screamed her outrage .,5
