group,sentence,construction
9,James threw John some oil.,ditransitive
9,Bob handed Doug some blood.,ditransitive
9,Bruce gave David some whisky.,ditransitive
9,Frank brought some tea to George.,transitive
9,Mike tossed some soda to Joseph.,transitive
9,Jason kicked some cream to Sam.,transitive
9,Tom offered some sand to Aaron.,transitive
9,Eric dumped some slime on Jerry.,caused-motion
9,Michael dropped some syrup on William.,caused-motion
9,Fred sprayed some bleach on Joe.,caused-motion
9,Dylan poured some juice on Don.,caused-motion
9,Mark dabbed Edward with some paint.,with-applicative
9,Paul plastered Jack with some ink.,with-applicative
9,Steve coated Chris with some beer.,with-applicative
9,Bill rubbed Thomas with some milk.,with-applicative
10,Mark passed Don some gasoline.,ditransitive
10,George handed Frank some gin.,ditransitive
10,Chris bought James some bleach.,ditransitive
10,Doug gave Paul some soup.,ditransitive
10,Eddie kicked some soda to Thomas.,transitive
10,John brought some yogurt to Jerry.,transitive
10,Harry tossed some cream to David.,transitive
10,Charlie threw some coffee to Dylan.,transitive
10,William poured some syrup on Tom.,caused-motion
10,Aaron dumped some acid on Joe.,caused-motion
10,Edward splashed some blood on Sam.,caused-motion
10,Michael sprayed some whisky on Eric.,caused-motion
10,Adam rubbed Henry with some slime.,with-applicative
10,Mike coated Bill with some oil.,with-applicative
10,Joseph dabbed Andrew with some paint.,with-applicative
10,Jack covered Bob with some water.,with-applicative
11,Henry brought Michael some syrup.,ditransitive
11,Bob sent Thomas some honey.,ditransitive
11,Joe lent Paul some bleach.,ditransitive
11,Steve passed Eric some slime.,ditransitive
11,Doug kicked some gasoline to Frank.,transitive
11,Jerry handed some acid to James.,transitive
11,Mike tossed some blood to Jack.,transitive
11,Fred chucked some oil to Eddie.,transitive
11,Chris poured some juice on Edward.,caused-motion
11,John sprayed some shampoo on Harry.,caused-motion
11,Dylan dropped some cream on Joseph.,caused-motion
11,Bill splashed some yogurt on Charlie.,caused-motion
11,Aaron covered William with some milk.,with-applicative
11,Bruce coated Adam with some coffee.,with-applicative
11,Mark stained Jason with some vodka.,with-applicative
11,Andrew rubbed Tom with some tea.,with-applicative
12,Joe handed Joseph some juice.,ditransitive
12,George brought Tom some yogurt.,ditransitive
12,Bill threw Bruce some paint.,ditransitive
12,Jack gave Jason some soda.,ditransitive
12,Michael tossed some water to Sam.,transitive
12,Dylan chucked some shampoo to Eric.,transitive
12,Aaron sent some honey to Don.,transitive
12,Adam passed some wine to William.,transitive
12,Thomas spilled some whisky on Steve.,caused-motion
12,Fred sprayed some bleach on Mike.,caused-motion
12,Edward dropped some cream on Eddie.,caused-motion
12,Andrew dumped some oil on Jerry.,caused-motion
12,James brushed Frank with some blood.,with-applicative
12,Doug stained Chris with some gin.,with-applicative
12,David coated Henry with some sand.,with-applicative
12,Mark plastered Harry with some ink.,with-applicative
13,Charlie sent Mike some tea.,ditransitive
13,Mark brought Tom some acid.,ditransitive
13,Michael offered Jerry some gasoline.,ditransitive
13,Jason handed Harry some wine.,ditransitive
13,William passed some ink to Edward.,transitive
13,Chris tossed some oil to James.,transitive
13,John gave some slime to Dylan.,transitive
13,Eric threw some cream to Doug.,transitive
13,Joseph splashed some whisky on Henry.,caused-motion
13,Fred poured some juice on Bill.,caused-motion
13,Aaron sprinkled some syrup on Steve.,caused-motion
13,Bruce sprayed some paint on Joe.,caused-motion
13,Jack coated Paul with some soup.,with-applicative
13,Frank dabbed George with some soda.,with-applicative
13,Don plastered Adam with some blood.,with-applicative
13,Andrew covered Bob with some milk.,with-applicative
14,Eric served Jack some coffee.,ditransitive
14,Adam bought Charlie some juice.,ditransitive
14,Doug gave Bob some gin.,ditransitive
14,Mark brought Bill some slime.,ditransitive
14,Joe tossed some soup to Jason.,transitive
14,Michael kicked some shampoo to Sam.,transitive
14,Henry sent some acid to Edward.,transitive
14,Harry chucked some honey to Mike.,transitive
14,Fred sprinkled some vodka on Dylan.,caused-motion
14,Steve dropped some tea on Eddie.,caused-motion
14,Andrew spilled some wine on George.,caused-motion
14,John dumped some oil on Chris.,caused-motion
14,Joseph plastered Thomas with some syrup.,with-applicative
14,Frank stained Don with some cream.,with-applicative
14,Bruce brushed Aaron with some milk.,with-applicative
14,William rubbed David with some soda.,with-applicative
15,Thomas sent Bob some wine.,ditransitive
15,Bruce bought Jack some water.,ditransitive
15,Edward offered Harry some paint.,ditransitive
15,Sam lent John some shampoo.,ditransitive
15,Doug threw some ink to Fred.,transitive
15,Aaron handed some gin to Paul.,transitive
15,Bill passed some whisky to George.,transitive
15,Charlie tossed some bleach to Henry.,transitive
15,Don dumped some tea on Tom.,caused-motion
15,Joe sprinkled some syrup on Mike.,caused-motion
15,James poured some cream on Eddie.,caused-motion
15,Joseph splashed some honey on Chris.,caused-motion
15,William rubbed Andrew with some vodka.,with-applicative
15,Frank stained Dylan with some juice.,with-applicative
15,Mark covered Eric with some sand.,with-applicative
15,Adam coated Jerry with some acid.,with-applicative
16,Aaron threw William some water.,ditransitive
16,Jerry offered David some yogurt.,ditransitive
16,Doug lent Bruce some syrup.,ditransitive
16,James gave Don some gasoline.,ditransitive
16,Eddie handed some tea to Fred.,transitive
16,Jason kicked some vodka to Andrew.,transitive
16,Eric chucked some whisky to Harry.,transitive
16,Joe tossed some blood to Dylan.,transitive
16,Mark poured some oil on Bill.,caused-motion
16,Edward spilled some coffee on Mike.,caused-motion
16,John dropped some milk on George.,caused-motion
16,Jack sprinkled some paint on Steve.,caused-motion
16,Joseph coated Tom with some shampoo.,with-applicative
16,Thomas sprayed Paul with some wine.,with-applicative
16,Sam dabbed Adam with some sand.,with-applicative
16,Charlie brushed Bob with some slime.,with-applicative
17,Mark brought Steve some soda.,ditransitive
17,Paul bought Aaron some vodka.,ditransitive
17,Chris offered Thomas some bleach.,ditransitive
17,Andrew handed Fred some juice.,ditransitive
17,Harry gave some yogurt to Joe.,transitive
17,Bill chucked some honey to Eddie.,transitive
17,Don tossed some water to John.,transitive
17,Jack kicked some ink to Dylan.,transitive
17,Edward dumped some acid on Mike.,caused-motion
17,James poured some shampoo on Henry.,caused-motion
17,William sprayed some cream on Eric.,caused-motion
17,Bruce dropped some wine on David.,caused-motion
17,George plastered Tom with some gasoline.,with-applicative
17,Jerry rubbed Joseph with some coffee.,with-applicative
17,Michael covered Doug with some milk.,with-applicative
17,Adam stained Jason with some whisky.,with-applicative
18,Chris threw Bruce some soup.,ditransitive
18,Eric brought Don some ink.,ditransitive
18,Aaron sent Paul some sand.,ditransitive
18,James offered Joe some gin.,ditransitive
18,William chucked some oil to Charlie.,transitive
18,Jack passed some milk to Tom.,transitive
18,Dylan tossed some slime to John.,transitive
18,Doug gave some honey to Andrew.,transitive
18,Mark spilled some vodka on Sam.,caused-motion
18,Eddie dropped some paint on Jerry.,caused-motion
18,Jason sprinkled some bleach on Henry.,caused-motion
18,Bill splashed some acid on Bob.,caused-motion
18,David brushed Thomas with some syrup.,with-applicative
18,Edward covered Joseph with some cream.,with-applicative
18,Adam sprayed Mike with some beer.,with-applicative
18,Steve coated Michael with some coffee.,with-applicative
19,Steve lent Tom some bleach.,ditransitive
19,Thomas sent Jack some cream.,ditransitive
19,Joe threw Don some ink.,ditransitive
19,Bruce offered Doug some syrup.,ditransitive
19,Harry brought some gasoline to Mike.,transitive
19,Chris gave some soda to Joseph.,transitive
19,Dylan tossed some whisky to Bill.,transitive
19,Jerry passed some gin to Charlie.,transitive
19,John sprayed some water on Edward.,caused-motion
19,Bob poured some coffee on James.,caused-motion
19,Adam dropped some sand on Henry.,caused-motion
19,Michael spilled some paint on Paul.,caused-motion
19,Sam plastered Frank with some yogurt.,with-applicative
19,David rubbed Aaron with some oil.,with-applicative
19,Eric stained Fred with some beer.,with-applicative
19,William covered Jason with some wine.,with-applicative
20,Bruce brought Adam some wine.,ditransitive
20,William bought Harry some paint.,ditransitive
20,Joe handed Bob some yogurt.,ditransitive
20,Eric passed Don some cream.,ditransitive
20,Mark offered some beer to Mike.,transitive
20,Edward threw some vodka to David.,transitive
20,Frank chucked some juice to Thomas.,transitive
20,Paul sent some soda to Andrew.,transitive
20,Eddie sprayed some whisky on George.,caused-motion
20,Henry sprinkled some shampoo on Doug.,caused-motion
20,Steve splashed some slime on Dylan.,caused-motion
20,Charlie dumped some blood on Aaron.,caused-motion
20,Jerry plastered James with some sand.,with-applicative
20,Michael coated Fred with some honey.,with-applicative
20,Sam brushed Joseph with some coffee.,with-applicative
20,Tom rubbed Bill with some ink.,with-applicative
21,David passed Jason some beer.,ditransitive
21,Don sent Bill some paint.,ditransitive
21,Chris lent Michael some yogurt.,ditransitive
21,Thomas bought William some acid.,ditransitive
21,Charlie offered some soda to Edward.,transitive
21,Tom gave some whisky to James.,transitive
21,Harry handed some cream to Jack.,transitive
21,Adam chucked some honey to Mike.,transitive
21,Dylan sprinkled some oil on Jerry.,caused-motion
21,Bruce splashed some soup on Mark.,caused-motion
21,John dropped some slime on Paul.,caused-motion
21,Sam dumped some sand on Andrew.,caused-motion
21,George sprayed Eric with some coffee.,with-applicative
21,Doug coated Henry with some tea.,with-applicative
21,Steve covered Frank with some gin.,with-applicative
21,Bob plastered Fred with some gasoline.,with-applicative
22,Thomas gave Harry some yogurt.,ditransitive
22,Michael threw Steve some vodka.,ditransitive
22,Aaron handed Jerry some cream.,ditransitive
22,Bruce served Frank some acid.,ditransitive
22,Adam brought some soup to Andrew.,transitive
22,Tom offered some beer to Henry.,transitive
22,Joseph chucked some wine to Charlie.,transitive
22,James tossed some soda to Mark.,transitive
22,Eddie spilled some shampoo on Bill.,caused-motion
22,David sprayed some water on Doug.,caused-motion
22,John sprinkled some sand on Mike.,caused-motion
22,Fred dropped some whisky on Sam.,caused-motion
22,William coated Joe with some paint.,with-applicative
22,Jack covered George with some ink.,with-applicative
22,Jason dabbed Chris with some syrup.,with-applicative
22,Eric rubbed Dylan with some oil.,with-applicative
23,Don handed John some yogurt.,ditransitive
23,David bought Bruce some soda.,ditransitive
23,Sam served Paul some wine.,ditransitive
23,Dylan passed Joseph some syrup.,ditransitive
23,Mike gave some vodka to Eric.,transitive
23,Henry tossed some acid to Frank.,transitive
23,William brought some tea to Mark.,transitive
23,Bob kicked some blood to Andrew.,transitive
23,Chris sprayed some paint on Steve.,caused-motion
23,Thomas sprinkled some honey on Jason.,caused-motion
23,Adam dropped some water on Jack.,caused-motion
23,Eddie poured some gasoline on Doug.,caused-motion
23,Bill dabbed James with some milk.,with-applicative
23,George coated Charlie with some coffee.,with-applicative
23,Michael plastered Fred with some shampoo.,with-applicative
23,Tom covered Aaron with some ink.,with-applicative
24,Aaron handed Tom some cream.,ditransitive
24,Joseph brought Don some gasoline.,ditransitive
24,Doug passed Dylan some soup.,ditransitive
24,Jason lent Harry some wine.,ditransitive
24,John sent some sand to William.,transitive
24,Joe tossed some vodka to Chris.,transitive
24,Henry chucked some ink to Edward.,transitive
24,Bob offered some shampoo to Charlie.,transitive
24,Mark poured some milk on Jerry.,caused-motion
24,George dropped some whisky on Adam.,caused-motion
24,Mike dumped some beer on Sam.,caused-motion
24,Bill splashed some soda on Jack.,caused-motion
24,Andrew brushed Frank with some yogurt.,with-applicative
24,Fred coated Steve with some honey.,with-applicative
24,Eddie dabbed James with some coffee.,with-applicative
24,Paul stained Bruce with some bleach.,with-applicative
25,David lent Jerry some cream.,ditransitive
25,Doug gave John some wine.,ditransitive
25,Harry offered Frank some yogurt.,ditransitive
25,Bill sent Don some sand.,ditransitive
25,James brought some soda to Edward.,transitive
25,Fred threw some whisky to Joseph.,transitive
25,Charlie handed some coffee to Eric.,transitive
25,Steve kicked some honey to William.,transitive
25,Paul poured some juice on Aaron.,caused-motion
25,Adam dumped some syrup on George.,caused-motion
25,Andrew sprayed some acid on Joe.,caused-motion
25,Bruce splashed some shampoo on Henry.,caused-motion
25,Mark stained Jason with some tea.,with-applicative
25,Dylan covered Tom with some soup.,with-applicative
25,Eddie plastered Sam with some blood.,with-applicative
25,Thomas coated Jack with some gasoline.,with-applicative
26,Don lent Joseph some coffee.,ditransitive
26,Jack passed Sam some milk.,ditransitive
26,Fred handed Andrew some honey.,ditransitive
26,David threw Steve some soda.,ditransitive
26,Chris kicked some soup to Doug.,transitive
26,Adam chucked some paint to Aaron.,transitive
26,Paul offered some beer to Eric.,transitive
26,Tom brought some ink to Charlie.,transitive
26,John spilled some blood on Bill.,caused-motion
26,Thomas poured some whisky on Frank.,caused-motion
26,Eddie splashed some water on Dylan.,caused-motion
26,Mark dumped some gin on Henry.,caused-motion
26,Bruce rubbed Mike with some sand.,with-applicative
26,Michael stained Harry with some shampoo.,with-applicative
26,Bob plastered William with some slime.,with-applicative
26,James dabbed Jason with some vodka.,with-applicative
27,Jack gave Aaron some paint.,ditransitive
27,Paul lent Steve some coffee.,ditransitive
27,Bruce brought Tom some whisky.,ditransitive
27,David handed Eric some tea.,ditransitive
27,Thomas chucked some water to George.,transitive
27,Adam tossed some blood to Bill.,transitive
27,Michael threw some syrup to Edward.,transitive
27,Doug kicked some bleach to Chris.,transitive
27,Eddie dropped some honey on William.,caused-motion
27,Jason poured some slime on Mike.,caused-motion
27,Harry splashed some wine on Joseph.,caused-motion
27,Dylan sprinkled some milk on Frank.,caused-motion
27,Fred brushed Bob with some yogurt.,with-applicative
27,John plastered Jerry with some beer.,with-applicative
27,Henry coated Mark with some shampoo.,with-applicative
27,Charlie stained Andrew with some gin.,with-applicative
28,Jerry brought Mark some ink.,ditransitive
28,Michael sent Charlie some vodka.,ditransitive
28,Sam served Frank some coffee.,ditransitive
28,Bill gave George some juice.,ditransitive
28,Joe offered some yogurt to Edward.,transitive
28,Mike tossed some syrup to Jason.,transitive
28,Tom kicked some wine to Joseph.,transitive
28,Chris handed some whisky to Adam.,transitive
28,Paul spilled some soup on James.,caused-motion
28,Steve dumped some beer on Henry.,caused-motion
28,John dropped some honey on Bruce.,caused-motion
28,Harry poured some gasoline on Jack.,caused-motion
28,Aaron stained Dylan with some milk.,with-applicative
28,Thomas brushed Eric with some gin.,with-applicative
28,Bob covered William with some slime.,with-applicative
28,Don dabbed Doug with some cream.,with-applicative
29,Eric handed Andrew some water.,ditransitive
29,Fred offered Adam some gasoline.,ditransitive
29,Chris served Jason some shampoo.,ditransitive
29,Thomas brought Bruce some juice.,ditransitive
29,Mike tossed some soup to Harry.,transitive
29,George threw some slime to Tom.,transitive
29,William chucked some vodka to Steve.,transitive
29,Joe sent some soda to Charlie.,transitive
29,Frank sprinkled some wine on Jerry.,caused-motion
29,Dylan dropped some honey on David.,caused-motion
29,Paul splashed some whisky on Eddie.,caused-motion
29,Sam spilled some blood on Henry.,caused-motion
29,Mark covered Bob with some cream.,with-applicative
29,Aaron sprayed Joseph with some ink.,with-applicative
29,Doug brushed Bill with some sand.,with-applicative
29,Michael plastered James with some yogurt.,with-applicative
30,Bill offered Adam some beer.,ditransitive
30,Mike bought Jack some sand.,ditransitive
30,Michael gave Thomas some juice.,ditransitive
30,Mark handed David some water.,ditransitive
30,Jerry passed some vodka to Charlie.,transitive
30,Chris threw some whisky to James.,transitive
30,George kicked some oil to Don.,transitive
30,Frank sent some yogurt to William.,transitive
30,Bob splashed some tea on Eddie.,caused-motion
30,Edward poured some syrup on John.,caused-motion
30,Bruce sprinkled some slime on Sam.,caused-motion
30,Doug spilled some paint on Fred.,caused-motion
30,Andrew brushed Joseph with some shampoo.,with-applicative
30,Henry coated Eric with some milk.,with-applicative
30,Aaron stained Joe with some bleach.,with-applicative
30,Tom plastered Harry with some cream.,with-applicative
31,Bob brought Tom some gasoline.,ditransitive
31,John gave Chris some soup.,ditransitive
31,Harry lent Bill some beer.,ditransitive
31,Thomas sent Adam some bleach.,ditransitive
31,Mike offered some vodka to Eric.,transitive
31,Paul threw some coffee to Eddie.,transitive
31,Jason chucked some shampoo to Fred.,transitive
31,Andrew passed some whisky to Henry.,transitive
31,Aaron sprinkled some acid on Dylan.,caused-motion
31,Joe dumped some tea on Joseph.,caused-motion
31,George spilled some milk on Mark.,caused-motion
31,Don poured some ink on James.,caused-motion
31,Doug covered Sam with some cream.,with-applicative
31,Frank plastered Bruce with some sand.,with-applicative
31,Steve rubbed Charlie with some syrup.,with-applicative
31,David stained Edward with some honey.,with-applicative
32,Charlie brought Henry some juice.,ditransitive
32,John bought Mark some oil.,ditransitive
32,Adam handed Steve some beer.,ditransitive
32,Bill threw Aaron some wine.,ditransitive
32,Jerry gave some shampoo to Sam.,transitive
32,Jason offered some yogurt to Eric.,transitive
32,James chucked some tea to Don.,transitive
32,Thomas sent some coffee to David.,transitive
32,Bruce sprayed some milk on Chris.,caused-motion
32,Paul dropped some soda on Joe.,caused-motion
32,Jack poured some syrup on Mike.,caused-motion
32,Edward sprinkled some slime on Michael.,caused-motion
32,Tom plastered Bob with some water.,with-applicative
32,Fred coated Joseph with some acid.,with-applicative
32,Harry covered Eddie with some vodka.,with-applicative
32,Doug brushed Dylan with some bleach.,with-applicative
33,Sam served George some coffee.,ditransitive
33,Jerry handed Bob some beer.,ditransitive
33,Harry brought Frank some syrup.,ditransitive
33,Thomas offered Charlie some blood.,ditransitive
33,Aaron gave some acid to Tom.,transitive
33,Eddie threw some gin to Andrew.,transitive
33,Joe tossed some bleach to Mike.,transitive
33,William kicked some ink to Eric.,transitive
33,Don sprayed some tea on Paul.,caused-motion
33,Bill spilled some vodka on Bruce.,caused-motion
33,Doug dropped some gasoline on James.,caused-motion
33,Michael sprinkled some sand on Fred.,caused-motion
33,Henry brushed David with some wine.,with-applicative
33,Chris coated Dylan with some water.,with-applicative
33,Jack covered Mark with some oil.,with-applicative
33,Adam dabbed Jason with some whisky.,with-applicative
34,Andrew threw Don some cream.,ditransitive
34,Thomas sent Eddie some beer.,ditransitive
34,Michael served Mark some sand.,ditransitive
34,Bob passed Eric some milk.,ditransitive
34,John gave some slime to Frank.,transitive
34,Bruce handed some gasoline to Paul.,transitive
34,Charlie kicked some oil to Tom.,transitive
34,David offered some vodka to Bill.,transitive
34,Dylan sprinkled some gin on Jack.,caused-motion
34,Adam splashed some syrup on Doug.,caused-motion
34,Sam sprayed some shampoo on Fred.,caused-motion
34,Henry spilled some acid on Mike.,caused-motion
34,Aaron stained Steve with some wine.,with-applicative
34,Joseph coated George with some honey.,with-applicative
34,Jason plastered Joe with some coffee.,with-applicative
34,Chris rubbed William with some yogurt.,with-applicative
35,John gave David some yogurt.,ditransitive
35,Dylan bought Don some juice.,ditransitive
35,Thomas lent Andrew some tea.,ditransitive
35,Paul passed Mark some wine.,ditransitive
35,Adam handed some ink to William.,transitive
35,Eric tossed some cream to Bill.,transitive
35,Mike kicked some honey to Tom.,transitive
35,James threw some oil to Michael.,transitive
35,Jack splashed some whisky on Henry.,caused-motion
35,Frank poured some bleach on Charlie.,caused-motion
35,George spilled some blood on Eddie.,caused-motion
35,Harry dropped some soup on Joe.,caused-motion
35,Jason stained Jerry with some vodka.,with-applicative
35,Chris plastered Doug with some milk.,with-applicative
35,Steve coated Joseph with some paint.,with-applicative
35,Bob dabbed Sam with some sand.,with-applicative
36,David served Jerry some soda.,ditransitive
36,Sam passed Bill some gasoline.,ditransitive
36,Mark gave Aaron some slime.,ditransitive
36,Harry threw Michael some gin.,ditransitive
36,Chris offered some paint to Bob.,transitive
36,George tossed some tea to Jason.,transitive
36,Jack kicked some milk to Joseph.,transitive
36,Mike chucked some whisky to Steve.,transitive
36,Charlie sprayed some water on Eddie.,caused-motion
36,William splashed some bleach on Joe.,caused-motion
36,Adam spilled some blood on Thomas.,caused-motion
36,Henry dropped some shampoo on Don.,caused-motion
36,James covered Edward with some oil.,with-applicative
36,Bruce brushed Andrew with some beer.,with-applicative
36,Doug stained Tom with some acid.,with-applicative
36,Frank rubbed Fred with some syrup.,with-applicative
37,Henry offered William some shampoo.,ditransitive
37,Charlie sent Mark some whisky.,ditransitive
37,Bob served Harry some slime.,ditransitive
37,Paul lent Michael some milk.,ditransitive
37,Thomas gave some acid to George.,transitive
37,Andrew brought some beer to Aaron.,transitive
37,Tom passed some bleach to Doug.,transitive
37,Joe kicked some tea to Chris.,transitive
37,Bruce sprayed some vodka on Fred.,caused-motion
37,Edward spilled some sand on Frank.,caused-motion
37,John dumped some soda on Joseph.,caused-motion
37,Don dropped some juice on Jerry.,caused-motion
37,Eric brushed Steve with some paint.,with-applicative
37,Jack coated Dylan with some blood.,with-applicative
37,Sam covered James with some gin.,with-applicative
37,Bill dabbed Adam with some gasoline.,with-applicative
38,Mike lent Sam some tea.,ditransitive
38,David bought Frank some water.,ditransitive
38,Fred handed Jack some whisky.,ditransitive
38,Mark threw Henry some acid.,ditransitive
38,Eddie kicked some yogurt to George.,transitive
38,James chucked some coffee to Eric.,transitive
38,Doug brought some bleach to Andrew.,transitive
38,Tom tossed some milk to Michael.,transitive
38,Edward sprayed some vodka on Adam.,caused-motion
38,Harry dumped some shampoo on Joe.,caused-motion
38,Jerry dropped some honey on Charlie.,caused-motion
38,Bob spilled some ink on Bill.,caused-motion
38,Paul brushed Joseph with some sand.,with-applicative
38,Chris plastered Dylan with some wine.,with-applicative
38,Thomas covered John with some juice.,with-applicative
38,Don stained Jason with some paint.,with-applicative
39,Henry lent Doug some ink.,ditransitive
39,Jerry bought Charlie some gin.,ditransitive
39,Don offered Eric some milk.,ditransitive
39,Edward sent Jason some paint.,ditransitive
39,Fred gave some soda to Bob.,transitive
39,James brought some juice to Aaron.,transitive
