group,sentence,verb,construction
15,Tom cut the tree into the water.,cut,caused-motion
15,Mike hit the door into the plane.,hit,caused-motion
15,Bill pulled the window open.,pulled,resultative
15,Andrew sliced the book apart.,sliced,resultative
15,Paul cut the box open.,cut,resultative
15,James hit the fridge open.,hit,resultative
16,Steve punched the table.,punched,transitive
16,Paul cut the box.,cut,transitive
16,Harry sliced the ball.,sliced,transitive
16,Jack pulled the door.,pulled,transitive
16,Michael punched Andrew the wall.,punched,ditransitive
16,Bill cut John the bread.,cut,ditransitive
16,Bob sliced George the box.,sliced,ditransitive
16,Sam pulled Tom the tree.,pulled,ditransitive
16,Mike punched the door to the hospital.,punched,caused-motion
16,Thomas cut the ball off the bridge.,cut,caused-motion
16,Frank sliced the bread onto the bed.,sliced,caused-motion
16,David pulled the ball through the hole.,pulled,caused-motion
16,Eric punched the book apart.,punched,resultative
16,Henry cut the tree down.,cut,resultative
16,James sliced the book apart.,sliced,resultative
16,Adam pulled the window open.,pulled,resultative
17,James got the fridge.,got,transitive
17,Mike cut the box.,cut,transitive
17,Adam pushed the window.,pushed,transitive
17,George sliced the box.,sliced,transitive
17,Andrew got Bill the door.,got,ditransitive
17,Eric cut Henry the bread.,cut,ditransitive
17,Jack pushed Steve the laptop.,pushed,ditransitive
17,Bob sliced Tom the book.,sliced,ditransitive
17,David got the book off the bridge.,got,caused-motion
17,Michael cut the ball into the net.,cut,caused-motion
17,John pushed the door to the beach.,pushed,caused-motion
17,Sam sliced the bread into the house.,sliced,caused-motion
17,Paul got the ball stuck.,got,resultative
17,Harry cut the tree down.,cut,resultative
17,Frank pushed the fridge open.,pushed,resultative
17,Thomas sliced the ball apart.,sliced,resultative
18,David cut the bread.,cut,transitive
18,Bob threw the window.,threw,transitive
18,Thomas kicked the door.,kicked,transitive
18,Jack got the book.,got,transitive
18,Michael cut Henry the box.,cut,ditransitive
18,Eric threw John the box.,threw,ditransitive
18,Sam kicked Harry the ball.,kicked,ditransitive
18,Paul got Steve the door.,got,ditransitive
18,Frank cut the ball to the hospital.,cut,caused-motion
18,Adam threw the laptop into the house.,threw,caused-motion
18,James kicked the wall into the water.,kicked,caused-motion
18,Andrew got the ball into the plane.,got,caused-motion
18,Mike cut the tree down.,cut,resultative
18,George threw the book open.,threw,resultative
18,Bill kicked the box apart.,kicked,resultative
18,Tom got the fridge open.,got,resultative
19,Tom pushed the door.,pushed,transitive
19,Eric got the ball.,got,transitive
19,George cut the tree.,cut,transitive
19,James pulled the tree.,pulled,transitive
19,Henry pushed Steve the laptop.,pushed,ditransitive
19,Mike got Adam the fridge.,got,ditransitive
19,John cut Jack the bread.,cut,ditransitive
19,Harry pulled Andrew the ball.,pulled,ditransitive
19,Paul pushed the window through the air.,pushed,caused-motion
19,Frank got the book into the house.,got,caused-motion
19,Bill cut the box into the water.,cut,caused-motion
19,Michael pulled the door to the airport.,pulled,caused-motion
19,Bob pushed the fridge open.,pushed,resultative
19,David got the door open.,got,resultative
19,Sam cut the ball open.,cut,resultative
19,Thomas pulled the window open.,pulled,resultative
20,Michael got the book.,got,transitive
20,Eric kicked the box.,kicked,transitive
20,Steve tore the laptop.,tore,transitive
20,Sam punched the book.,punched,transitive
20,Adam got Henry the door.,got,ditransitive
20,Thomas kicked James the ball.,kicked,ditransitive
20,David tore George the tree.,tore,ditransitive
20,Paul punched Tom the table.,punched,ditransitive
20,Frank got the fridge through the air.,got,caused-motion
20,Bill kicked the door over the fence.,kicked,caused-motion
20,Bob tore the bread into the water.,tore,caused-motion
20,Mike punched the door into the net.,punched,caused-motion
20,Jack got the ball stuck.,got,resultative
20,Andrew kicked the wall down.,kicked,resultative
20,John tore the wall down.,tore,resultative
20,Harry punched the wall down.,punched,resultative
21,Frank pulled the ball.,pulled,transitive
21,George cut the ball.,cut,transitive
21,Sam pushed the fridge.,pushed,transitive
21,Tom punched the wall.,punched,transitive
21,Bob pulled Jack the window.,pulled,ditransitive
21,James cut Steve the bread.,cut,ditransitive
21,Bill pushed Mike the laptop.,pushed,ditransitive
21,Eric punched John the table.,punched,ditransitive
21,David pulled the door into the water.,pulled,caused-motion
21,Henry cut the box onto the elevator.,cut,caused-motion
21,Adam pushed the door off the bus.,pushed,caused-motion
21,Harry punched the book into the house.,punched,caused-motion
21,Michael pulled the tree down.,pulled,resultative
21,Andrew cut the tree down.,cut,resultative
21,Paul pushed the window open.,pushed,resultative
21,Thomas punched the door shut.,punched,resultative
22,Michael tore the wall.,tore,transitive
22,Bill pulled the window.,pulled,transitive
22,James kicked the wall.,kicked,transitive
22,Tom pushed the door.,pushed,transitive
22,Thomas tore Mike the tree.,tore,ditransitive
22,Eric pulled Harry the door.,pulled,ditransitive
22,Steve kicked Adam the box.,kicked,ditransitive
22,Henry pushed John the fridge.,pushed,ditransitive
22,Sam tore the bread through the forest.,tore,caused-motion
22,Jack pulled the tree into the net.,pulled,caused-motion
22,Andrew kicked the door to the hospital.,kicked,caused-motion
22,Bob pushed the laptop onto the elevator.,pushed,caused-motion
22,Frank tore the laptop apart.,tore,resultative
22,George pulled the ball free.,pulled,resultative
22,Paul kicked the ball free.,kicked,resultative
22,David pushed the window open.,pushed,resultative
23,Bob tore the laptop.,tore,transitive
23,Bill pulled the ball.,pulled,transitive
23,George sliced the book.,sliced,transitive
23,David threw the laptop.,threw,transitive
23,Adam tore Jack the bread.,tore,ditransitive
23,John pulled Tom the window.,pulled,ditransitive
23,Michael sliced Mike the bread.,sliced,ditransitive
23,Thomas threw Eric the window.,threw,ditransitive
23,Harry tore the tree into the plane.,tore,caused-motion
23,Paul pulled the tree into the water.,pulled,caused-motion
23,Andrew sliced the box over the balcony.,sliced,caused-motion
23,Frank threw the box off the bus.,threw,caused-motion
23,James tore the wall down.,tore,resultative
23,Steve pulled the door open.,pulled,resultative
23,Sam sliced the ball apart.,sliced,resultative
23,Henry threw the book open.,threw,resultative
24,Harry kicked the door.,kicked,transitive
24,Sam tore the tree.,tore,transitive
24,Tom sliced the book.,sliced,transitive
24,David cut the box.,cut,transitive
24,Michael kicked John the wall.,kicked,ditransitive
24,George tore Jack the laptop.,tore,ditransitive
24,Thomas sliced Andrew the box.,sliced,ditransitive
24,Frank cut James the bread.,cut,ditransitive
24,Steve kicked the ball to the hospital.,kicked,caused-motion
24,Henry tore the wall into the net.,tore,caused-motion
24,Bob sliced the bread onto the roof.,sliced,caused-motion
24,Adam cut the ball to the beach.,cut,caused-motion
24,Bill kicked the box apart.,kicked,resultative
24,Mike tore the bread apart.,tore,resultative
24,Eric sliced the ball apart.,sliced,resultative
24,Paul cut the tree down.,cut,resultative
25,Steve cut the tree.,cut,transitive
25,Henry pushed the window.,pushed,transitive
25,George kicked the ball.,kicked,transitive
25,Thomas punched the wall.,punched,transitive
25,David cut Harry the ball.,cut,ditransitive
25,Tom pushed Bill the fridge.,pushed,ditransitive
25,Andrew kicked Eric the door.,kicked,ditransitive
25,James punched Adam the door.,punched,ditransitive
25,John cut the bread onto the elevator.,cut,caused-motion
25,Frank pushed the door through the forest.,pushed,caused-motion
25,Paul kicked the box off the bus.,kicked,caused-motion
25,Sam punched the table into the net.,punched,caused-motion
25,Mike cut the box open.,cut,resultative
25,Bob pushed the laptop shut.,pushed,resultative
25,Michael kicked the wall down.,kicked,resultative
25,Jack punched the book apart.,punched,resultative
26,Andrew hit the wall.,hit,transitive
26,Adam cut the bread.,cut,transitive
26,Harry punched the book.,punched,transitive
26,Steve pulled the ball.,pulled,transitive
26,Sam hit Thomas the fridge.,hit,ditransitive
26,Bill cut Frank the box.,cut,ditransitive
26,John punched James the door.,punched,ditransitive
26,Michael pulled Mike the tree.,pulled,ditransitive
26,Paul hit the window to the hospital.,hit,caused-motion
26,Jack cut the tree to the beach.,cut,caused-motion
26,Eric punched the table to the airport.,punched,caused-motion
26,Henry pulled the door onto the bed.,pulled,caused-motion
26,Bob hit the door open.,hit,resultative
26,Tom cut the ball open.,cut,resultative
26,David punched the wall down.,punched,resultative
26,George pulled the window open.,pulled,resultative
27,Henry kicked the wall.,kicked,transitive
27,Harry got the door.,got,transitive
27,Frank tore the bread.,tore,transitive
27,Michael sliced the ball.,sliced,transitive
27,Andrew kicked Mike the box.,kicked,ditransitive
27,Sam got David the ball.,got,ditransitive
27,Eric tore Tom the wall.,tore,ditransitive
27,Bill sliced Bob the book.,sliced,ditransitive
27,John kicked the door onto the roof.,kicked,caused-motion
27,George got the fridge into the water.,got,caused-motion
27,Thomas tore the tree through the hole.,tore,caused-motion
27,Paul sliced the box off the bus.,sliced,caused-motion
27,Jack kicked the ball free.,kicked,resultative
27,James got the book closed.,got,resultative
27,Steve tore the laptop apart.,tore,resultative
27,Adam sliced the bread apart.,sliced,resultative
28,Michael got the fridge.,got,transitive
28,Steve hit the fridge.,hit,transitive
28,Andrew pulled the window.,pulled,transitive
28,Thomas kicked the door.,kicked,transitive
28,Frank got Sam the door.,got,ditransitive
28,Henry hit John the window.,hit,ditransitive
28,Tom pulled Harry the tree.,pulled,ditransitive
28,James kicked David the ball.,kicked,ditransitive
28,George got the ball into the water.,got,caused-motion
28,Jack hit the door onto the roof.,hit,caused-motion
28,Adam pulled the ball onto the elevator.,pulled,caused-motion
28,Mike kicked the box through the air.,kicked,caused-motion
28,Bob got the book closed.,got,resultative
28,Eric hit the wall down.,hit,resultative
28,Bill pulled the door open.,pulled,resultative
28,Paul kicked the wall down.,kicked,resultative
29,Tom kicked the box.,kicked,transitive
29,Jack pulled the tree.,pulled,transitive
29,Eric threw the book.,threw,transitive
29,Andrew got the fridge.,got,transitive
29,Paul kicked Michael the door.,kicked,ditransitive
29,James pulled David the door.,pulled,ditransitive
29,Frank threw Adam the box.,threw,ditransitive
29,George got Sam the ball.,got,ditransitive
29,John kicked the ball into the house.,kicked,caused-motion
29,Harry pulled the window over the balcony.,pulled,caused-motion
29,Steve threw the window onto the elevator.,threw,caused-motion
29,Bill got the door over the fence.,got,caused-motion
29,Thomas kicked the wall down.,kicked,resultative
29,Bob pulled the ball free.,pulled,resultative
29,Mike threw the laptop apart.,threw,resultative
29,Henry got the book closed.,got,resultative
30,Bill punched the table.,punched,transitive
30,Steve sliced the bread.,sliced,transitive
30,Thomas cut the bread.,cut,transitive
30,Adam threw the laptop.,threw,transitive
30,Sam punched Andrew the door.,punched,ditransitive
30,James sliced Frank the ball.,sliced,ditransitive
30,David cut Jack the tree.,cut,ditransitive
30,Paul threw John the book.,threw,ditransitive
30,Michael punched the book over the fence.,punched,caused-motion
30,Henry sliced the box onto the roof.,sliced,caused-motion
30,George cut the box through the air.,cut,caused-motion
30,Mike threw the box onto the elevator.,threw,caused-motion
30,Harry punched the wall down.,punched,resultative
30,Tom sliced the book apart.,sliced,resultative
30,Eric cut the ball open.,cut,resultative
30,Bob threw the window open.,threw,resultative
31,Tom punched the door.,punched,transitive
31,Andrew pulled the door.,pulled,transitive
31,Michael tore the laptop.,tore,transitive
31,George got the door.,got,transitive
31,John punched Mike the wall.,punched,ditransitive
31,Bill pulled Bob the tree.,pulled,ditransitive
31,Thomas tore James the tree.,tore,ditransitive
31,Frank got David the ball.,got,ditransitive
31,Eric punched the book through the air.,punched,caused-motion
31,Jack pulled the ball off the bridge.,pulled,caused-motion
31,Henry tore the bread to the beach.,tore,caused-motion
31,Harry got the fridge through the hole.,got,caused-motion
31,Sam punched the table apart.,punched,resultative
31,Steve pulled the window open.,pulled,resultative
31,Paul tore the wall down.,tore,resultative
31,Adam got the book closed.,got,resultative
32,Andrew tore the bread.,tore,transitive
32,David sliced the book.,sliced,transitive
32,James cut the box.,cut,transitive
32,Eric kicked the door.,kicked,transitive
32,John tore Thomas the wall.,tore,ditransitive
32,George sliced Tom the box.,sliced,ditransitive
32,Mike cut Jack the ball.,cut,ditransitive
32,Frank kicked Harry the wall.,kicked,ditransitive
32,Henry tore the laptop onto the bed.,tore,caused-motion
32,Paul sliced the ball over the fence.,sliced,caused-motion
32,Bob cut the bread into the house.,cut,caused-motion
32,Steve kicked the ball onto the roof.,kicked,caused-motion
32,Bill tore the tree down.,tore,resultative
32,Michael sliced the bread apart.,sliced,resultative
32,Adam cut the tree down.,cut,resultative
32,Sam kicked the box apart.,kicked,resultative
33,George pulled the tree.,pulled,transitive
33,Michael punched the door.,punched,transitive
33,Henry cut the bread.,cut,transitive
33,John got the ball.,got,transitive
33,Eric pulled Harry the ball.,pulled,ditransitive
33,James punched Bob the wall.,punched,ditransitive
33,Steve cut Adam the box.,cut,ditransitive
33,Tom got Paul the book.,got,ditransitive
33,Bill pulled the door into the house.,pulled,caused-motion
33,Sam punched the table to the airport.,punched,caused-motion
33,Frank cut the ball through the hole.,cut,caused-motion
33,Thomas got the fridge over the fence.,got,caused-motion
33,Andrew pulled the window open.,pulled,resultative
33,Jack punched the book apart.,punched,resultative
33,Mike cut the tree down.,cut,resultative
33,David got the door open.,got,resultative
34,Harry sliced the book.,sliced,transitive
34,Frank tore the bread.,tore,transitive
34,Mike punched the wall.,punched,transitive
34,Paul pushed the fridge.,pushed,transitive
34,David sliced Eric the box.,sliced,ditransitive
34,Sam tore Tom the laptop.,tore,ditransitive
34,Henry punched Thomas the book.,punched,ditransitive
34,Adam pushed Michael the laptop.,pushed,ditransitive
34,Andrew sliced the ball to the airport.,sliced,caused-motion
34,Steve tore the wall into the plane.,tore,caused-motion
34,Bill punched the table over the balcony.,punched,caused-motion
34,James pushed the window into the net.,pushed,caused-motion
34,Bob sliced the bread apart.,sliced,resultative
34,George tore the tree down.,tore,resultative
34,John punched the door shut.,punched,resultative
34,Jack pushed the door shut.,pushed,resultative
35,Steve tore the wall.,tore,transitive
35,Andrew punched the table.,punched,transitive
35,Bob hit the fridge.,hit,transitive
35,Mike pulled the tree.,pulled,transitive
35,Michael tore Eric the bread.,tore,ditransitive
35,James punched Tom the book.,punched,ditransitive
35,Frank hit John the door.,hit,ditransitive
35,Paul pulled David the window.,pulled,ditransitive
35,Jack tore the laptop into the house.,tore,caused-motion
35,Henry punched the wall through the hole.,punched,caused-motion
35,Sam hit the window through the air.,hit,caused-motion
35,George pulled the ball off the bridge.,pulled,caused-motion
35,Bill tore the tree down.,tore,resultative
35,Adam punched the door shut.,punched,resultative
35,Thomas hit the wall down.,hit,resultative
35,Harry pulled the door open.,pulled,resultative
36,Henry pulled the tree.,pulled,transitive
36,Frank cut the bread.,cut,transitive
36,Sam threw the book.,threw,transitive
36,Bob punched the book.,punched,transitive
36,George pulled Eric the window.,pulled,ditransitive
36,Thomas cut Paul the tree.,cut,ditransitive
36,James threw Andrew the laptop.,threw,ditransitive
36,John punched Tom the door.,punched,ditransitive
36,Jack pulled the door onto the roof.,pulled,caused-motion
36,David cut the ball into the net.,cut,caused-motion
36,Steve threw the window to the beach.,threw,caused-motion
36,Adam punched the wall through the forest.,punched,caused-motion
36,Mike pulled the ball free.,pulled,resultative
36,Michael cut the box open.,cut,resultative
36,Bill threw the box open.,threw,resultative
36,Harry punched the table apart.,punched,resultative
37,Harry kicked the ball.,kicked,transitive
37,Michael hit the wall.,hit,transitive
37,Paul sliced the bread.,sliced,transitive
37,Bill threw the window.,threw,transitive
37,Jack kicked Sam the door.,kicked,ditransitive
37,Eric hit Tom the fridge.,hit,ditransitive
37,George sliced Bob the book.,sliced,ditransitive
37,David threw Mike the book.,threw,ditransitive
37,Andrew kicked the box onto the roof.,kicked,caused-motion
37,Henry hit the door off the bridge.,hit,caused-motion
37,John sliced the ball into the house.,sliced,caused-motion
37,Adam threw the box through the forest.,threw,caused-motion
37,Steve kicked the wall down.,kicked,resultative
37,Frank hit the window open.,hit,resultative
37,James sliced the box apart.,sliced,resultative
37,Thomas threw the laptop apart.,threw,resultative
38,Jack pulled the tree.,pulled,transitive
38,Frank tore the tree.,tore,transitive
38,Paul hit the door.,hit,transitive
38,Tom cut the ball.,cut,transitive
38,Thomas pulled David the window.,pulled,ditransitive
38,George tore Bob the bread.,tore,ditransitive
38,Eric hit Henry the window.,hit,ditransitive
38,John cut James the bread.,cut,ditransitive
38,Adam pulled the door into the house.,pulled,caused-motion
38,Andrew tore the wall into the plane.,tore,caused-motion
38,Bill hit the fridge onto the roof.,hit,caused-motion
38,Mike cut the box onto the bed.,cut,caused-motion
38,Harry pulled the ball free.,pulled,resultative
38,Steve tore the laptop apart.,tore,resultative
38,Sam hit the wall down.,hit,resultative
38,Michael cut the tree down.,cut,resultative
39,Eric got the door.,got,transitive
39,Steve sliced the ball.,sliced,transitive
39,Mike tore the tree.,tore,transitive
39,Tom cut the tree.,cut,transitive
39,Michael got David the ball.,got,ditransitive
39,Harry sliced Adam the bread.,sliced,ditransitive
39,Jack tore Bob the laptop.,tore,ditransitive
39,Andrew cut John the bread.,cut,ditransitive
39,George got the book to the beach.,got,caused-motion
