group,sentence,construction
17,Adam rubbed Jason with some paint.,with-applicative
18,Chris threw Bruce some syrup.,ditransitive
18,Eric brought Don some ink.,ditransitive
18,Aaron sent Paul some shampoo.,ditransitive
18,James offered Joe some gin.,ditransitive
18,William kicked some oil to Charlie.,to-dative
18,Jack passed some milk to Tom.,to-dative
18,Dylan chucked some soda to John.,to-dative
18,Doug tossed some honey to Andrew.,to-dative
18,Mark spilled some vodka on Sam.,caused-motion
18,Eddie dropped some paint on Jerry.,caused-motion
18,Jason sprinkled some soup on Henry.,caused-motion
18,Bill splashed some juice on Bob.,caused-motion
18,David stained Thomas with some beer.,with-applicative
18,Edward dabbed Joseph with some acid.,with-applicative
18,Adam coated Mike with some cream.,with-applicative
18,Steve sprayed Michael with some yogurt.,with-applicative
19,Steve lent Tom some bleach.,ditransitive
19,Thomas threw Jack some cream.,ditransitive
19,Joe sent Don some ink.,ditransitive
19,Bruce offered Doug some tea.,ditransitive
19,Harry kicked some gasoline to Mike.,to-dative
19,Chris tossed some soup to Joseph.,to-dative
19,Dylan chucked some whisky to Bill.,to-dative
19,Jerry passed some gin to Charlie.,to-dative
19,John sprayed some syrup on Edward.,caused-motion
19,Bob poured some coffee on James.,caused-motion
19,Adam dropped some honey on Henry.,caused-motion
19,Michael spilled some water on Paul.,caused-motion
19,Sam plastered Frank with some yogurt.,with-applicative
19,David brushed Aaron with some beer.,with-applicative
19,Eric rubbed Fred with some wine.,with-applicative
19,William dabbed Jason with some milk.,with-applicative
20,Harry bought Joe some yogurt.,ditransitive
20,David handed Michael some paint.,ditransitive
20,Henry sent Mark some wine.,ditransitive
20,Eric passed Edward some cream.,ditransitive
20,Paul kicked some beer to Thomas.,to-dative
20,Frank gave some vodka to Bruce.,to-dative
20,Bob chucked some juice to Andrew.,to-dative
20,James threw some soup to Eddie.,to-dative
20,George poured some whisky on Jack.,caused-motion
20,Doug sprayed some slime on William.,caused-motion
20,Fred splashed some soda on Mike.,caused-motion
20,Aaron sprinkled some gin on Steve.,caused-motion
20,Dylan brushed Jerry with some blood.,with-applicative
20,Don dabbed Sam with some oil.,with-applicative
20,Joseph coated John with some honey.,with-applicative
20,Adam stained Bill with some coffee.,with-applicative
21,David threw Jason some beer.,ditransitive
21,Don passed Bill some paint.,ditransitive
21,Chris lent Michael some yogurt.,ditransitive
21,Thomas bought William some acid.,ditransitive
21,Charlie tossed some soup to Edward.,to-dative
21,Tom chucked some whisky to James.,to-dative
21,Harry handed some cream to Jack.,to-dative
21,Adam offered some honey to Mike.,to-dative
21,Dylan sprinkled some oil on Jerry.,caused-motion
21,Bruce splashed some vodka on Mark.,caused-motion
21,John dropped some coffee on Paul.,caused-motion
21,Sam dumped some shampoo on Andrew.,caused-motion
21,George coated Eric with some tea.,with-applicative
21,Doug sprayed Henry with some gin.,with-applicative
21,Steve dabbed Frank with some gasoline.,with-applicative
21,Bob plastered Fred with some blood.,with-applicative
22,Michael gave Steve some syrup.,ditransitive
22,Aaron handed Doug some soup.,ditransitive
22,Paul lent Adam some slime.,ditransitive
22,Andrew bought Harry some vodka.,ditransitive
22,Henry offered some acid to Mike.,to-dative
22,Charlie passed some shampoo to James.,to-dative
22,Sam sent some juice to Eddie.,to-dative
22,Bill chucked some yogurt to David.,to-dative
22,Tom splashed some cream on Joe.,caused-motion
22,Mark dropped some beer on Jerry.,caused-motion
22,John sprayed some gin on Jason.,caused-motion
22,Thomas dumped some paint on Fred.,caused-motion
22,Jack dabbed Frank with some milk.,with-applicative
22,George stained Joseph with some coffee.,with-applicative
22,Edward coated Don with some gasoline.,with-applicative
22,Bob plastered Chris with some water.,with-applicative
23,Paul served Harry some vodka.,ditransitive
23,Jerry brought Don some acid.,ditransitive
23,Bruce lent Chris some paint.,ditransitive
23,Sam sent Thomas some honey.,ditransitive
23,Mark tossed some beer to David.,to-dative
23,Dylan handed some syrup to Adam.,to-dative
23,Bob kicked some coffee to James.,to-dative
23,William offered some blood to Joseph.,to-dative
23,George sprinkled some oil on Edward.,caused-motion
23,Michael dumped some juice on Frank.,caused-motion
23,John dropped some shampoo on Joe.,caused-motion
23,Eddie spilled some yogurt on Jack.,caused-motion
23,Tom sprayed Steve with some wine.,with-applicative
23,Aaron coated Doug with some tea.,with-applicative
23,Eric plastered Mike with some soda.,with-applicative
23,Bill rubbed Andrew with some soup.,with-applicative
24,Joseph gave Don some wine.,ditransitive
24,Eddie lent Eric some juice.,ditransitive
24,Steve threw John some soup.,ditransitive
24,George offered Henry some honey.,ditransitive
24,Adam brought some cream to Edward.,to-dative
24,Jack handed some water to Chris.,to-dative
24,Thomas chucked some gin to Bob.,to-dative
24,Charlie passed some milk to Andrew.,to-dative
24,Paul dumped some slime on Jerry.,caused-motion
24,Tom splashed some gasoline on Dylan.,caused-motion
24,Bruce sprinkled some syrup on Bill.,caused-motion
24,Mike poured some beer on Sam.,caused-motion
24,Fred dabbed Joe with some bleach.,with-applicative
24,Doug coated Jason with some vodka.,with-applicative
24,William covered Michael with some oil.,with-applicative
24,Harry stained Aaron with some blood.,with-applicative
25,Joseph gave Eddie some coffee.,ditransitive
25,Mike passed Fred some honey.,ditransitive
25,Sam bought Paul some juice.,ditransitive
25,William handed Mark some yogurt.,ditransitive
25,Jason kicked some acid to Michael.,to-dative
25,Aaron threw some vodka to Harry.,to-dative
25,Adam offered some milk to Jerry.,to-dative
25,Andrew chucked some soup to Dylan.,to-dative
25,Bruce spilled some gin on James.,caused-motion
25,Doug poured some paint on Bill.,caused-motion
25,Tom sprinkled some water on Don.,caused-motion
25,Joe dropped some gasoline on John.,caused-motion
25,Jack stained Thomas with some bleach.,with-applicative
25,Edward sprayed Eric with some wine.,with-applicative
25,Chris rubbed Bob with some blood.,with-applicative
25,Henry brushed George with some ink.,with-applicative
26,Bob bought Fred some milk.,ditransitive
26,Steve served Frank some honey.,ditransitive
26,James offered Adam some soup.,ditransitive
26,Aaron lent Andrew some syrup.,ditransitive
26,Eric threw some paint to Doug.,to-dative
26,Charlie passed some beer to Paul.,to-dative
26,Bill sent some ink to John.,to-dative
26,Sam gave some blood to Thomas.,to-dative
26,George sprayed some wine on Harry.,caused-motion
26,Eddie dumped some whisky on Jack.,caused-motion
26,Michael sprinkled some gin on Bruce.,caused-motion
26,Henry spilled some shampoo on David.,caused-motion
26,Joe stained Jerry with some slime.,with-applicative
26,William plastered Joseph with some soda.,with-applicative
26,Chris rubbed Jason with some water.,with-applicative
26,Edward coated Dylan with some oil.,with-applicative
27,Aaron lent Paul some coffee.,ditransitive
27,Steve brought Bruce some wine.,ditransitive
27,William threw David some vodka.,ditransitive
27,Eric bought Sam some whisky.,ditransitive
27,George chucked some blood to Adam.,to-dative
27,Bill kicked some tea to Mike.,to-dative
27,Edward offered some bleach to Doug.,to-dative
27,Chris handed some honey to Eddie.,to-dative
27,James poured some soda on Jerry.,caused-motion
27,Tom splashed some yogurt on Henry.,caused-motion
27,Frank dropped some milk on Harry.,caused-motion
27,Joe sprinkled some paint on Mark.,caused-motion
27,Bob stained Joseph with some beer.,with-applicative
27,Jack sprayed Fred with some slime.,with-applicative
27,Jason rubbed Michael with some gin.,with-applicative
27,Andrew plastered John with some oil.,with-applicative
28,Jerry sent Mark some ink.,ditransitive
28,Michael served Charlie some water.,ditransitive
28,Sam passed Frank some coffee.,ditransitive
28,Bill offered George some juice.,ditransitive
28,Joe brought some yogurt to Edward.,to-dative
28,Mike gave some tea to Jason.,to-dative
28,Tom chucked some vodka to Joseph.,to-dative
28,Chris handed some whisky to Adam.,to-dative
28,Paul spilled some soup on James.,caused-motion
28,Steve dumped some beer on Henry.,caused-motion
28,John dropped some syrup on Bruce.,caused-motion
28,Harry poured some wine on Jack.,caused-motion
28,Aaron rubbed Dylan with some soda.,with-applicative
28,Thomas stained Eric with some gasoline.,with-applicative
28,Bob dabbed William with some gin.,with-applicative
28,Don covered Doug with some slime.,with-applicative
29,Eric offered Andrew some whisky.,ditransitive
29,Fred handed Adam some gasoline.,ditransitive
29,Chris threw Jason some slime.,ditransitive
29,Thomas lent Bruce some juice.,ditransitive
29,Mike chucked some syrup to Harry.,to-dative
29,George sent some soda to Tom.,to-dative
29,William brought some vodka to Steve.,to-dative
29,Joe passed some soup to Charlie.,to-dative
29,Frank dropped some wine on Jerry.,caused-motion
29,Dylan splashed some honey on David.,caused-motion
29,Paul poured some gin on Eddie.,caused-motion
29,Sam sprinkled some blood on Henry.,caused-motion
29,Mark brushed Bob with some cream.,with-applicative
29,Aaron dabbed Joseph with some ink.,with-applicative
29,Doug stained Bill with some paint.,with-applicative
29,Michael plastered James with some oil.,with-applicative
30,Bill bought Adam some beer.,ditransitive
30,Mike gave Jack some shampoo.,ditransitive
30,Michael lent Thomas some juice.,ditransitive
30,Mark served David some water.,ditransitive
30,Jerry sent some whisky to Charlie.,to-dative
30,Chris brought some oil to James.,to-dative
30,George threw some yogurt to Don.,to-dative
30,Frank passed some vodka to William.,to-dative
30,Bob poured some tea on Eddie.,caused-motion
30,Edward splashed some soda on John.,caused-motion
30,Bruce spilled some paint on Sam.,caused-motion
30,Doug sprinkled some slime on Fred.,caused-motion
30,Andrew coated Joseph with some milk.,with-applicative
30,Henry sprayed Eric with some bleach.,with-applicative
30,Aaron plastered Joe with some cream.,with-applicative
30,Tom stained Harry with some syrup.,with-applicative
31,Bob gave Tom some gasoline.,ditransitive
31,John lent Chris some syrup.,ditransitive
31,Harry passed Bill some beer.,ditransitive
31,Thomas offered Adam some bleach.,ditransitive
31,Mike tossed some coffee to Eric.,to-dative
31,Paul threw some slime to Eddie.,to-dative
31,Jason kicked some whisky to Fred.,to-dative
31,Andrew brought some acid to Henry.,to-dative
31,Aaron sprinkled some vodka on Dylan.,caused-motion
31,Joe dumped some milk on Joseph.,caused-motion
31,George spilled some ink on Mark.,caused-motion
31,Don poured some cream on James.,caused-motion
31,Doug dabbed Sam with some shampoo.,with-applicative
31,Frank plastered Bruce with some tea.,with-applicative
31,Steve brushed Charlie with some honey.,with-applicative
31,David rubbed Edward with some wine.,with-applicative
32,Charlie bought Henry some juice.,ditransitive
32,John handed Mark some oil.,ditransitive
32,Adam sent Steve some beer.,ditransitive
32,Bill served Aaron some wine.,ditransitive
32,Jerry threw some slime to Sam.,to-dative
32,Jason offered some yogurt to Eric.,to-dative
32,James tossed some tea to Don.,to-dative
32,Thomas kicked some coffee to David.,to-dative
32,Bruce sprayed some milk on Chris.,caused-motion
32,Paul poured some soda on Joe.,caused-motion
32,Jack dropped some cream on Mike.,caused-motion
32,Edward sprinkled some vodka on Michael.,caused-motion
32,Tom coated Bob with some water.,with-applicative
32,Fred brushed Joseph with some acid.,with-applicative
32,Harry dabbed Eddie with some syrup.,with-applicative
32,Doug stained Dylan with some bleach.,with-applicative
33,Sam served George some coffee.,ditransitive
33,Jerry handed Bob some beer.,ditransitive
33,Harry brought Frank some tea.,ditransitive
33,Thomas offered Charlie some blood.,ditransitive
33,Aaron chucked some acid to Tom.,to-dative
33,Eddie threw some gin to Andrew.,to-dative
33,Joe sent some bleach to Mike.,to-dative
33,William passed some ink to Eric.,to-dative
33,Don sprayed some whisky on Paul.,caused-motion
33,Bill spilled some vodka on Bruce.,caused-motion
33,Doug dropped some water on James.,caused-motion
33,Michael sprinkled some wine on Fred.,caused-motion
33,Henry stained David with some shampoo.,with-applicative
33,Chris coated Dylan with some oil.,with-applicative
33,Jack dabbed Mark with some syrup.,with-applicative
33,Adam covered Jason with some soup.,with-applicative
34,Thomas sent Eddie some soda.,ditransitive
34,Michael served David some gasoline.,ditransitive
34,Mike brought Paul some oil.,ditransitive
34,John lent Frank some yogurt.,ditransitive
34,Bruce kicked some gin to Mark.,to-dative
34,Charlie passed some whisky to Don.,to-dative
34,Steve chucked some slime to Bill.,to-dative
34,Dylan tossed some beer to Jason.,to-dative
34,Adam sprayed some blood on Doug.,caused-motion
34,Eric spilled some honey on Joe.,caused-motion
34,Aaron sprinkled some cream on Bob.,caused-motion
34,George poured some paint on Tom.,caused-motion
34,James rubbed Henry with some water.,with-applicative
34,Edward coated Joseph with some acid.,with-applicative
34,Andrew dabbed William with some coffee.,with-applicative
34,Jack covered Chris with some ink.,with-applicative
35,David sent Dylan some juice.,ditransitive
35,Don threw Tom some vodka.,ditransitive
35,Bruce bought Andrew some yogurt.,ditransitive
35,Mark lent Adam some ink.,ditransitive
35,John gave some cream to Eric.,to-dative
35,Bill chucked some honey to Paul.,to-dative
35,William offered some oil to James.,to-dative
35,Michael brought some wine to Jason.,to-dative
35,Jack dropped some bleach on Frank.,caused-motion
35,Charlie splashed some blood on Harry.,caused-motion
35,Joe dumped some syrup on Mike.,caused-motion
35,Jerry poured some water on Steve.,caused-motion
35,Fred rubbed Doug with some milk.,with-applicative
35,Chris brushed Eddie with some paint.,with-applicative
35,Thomas sprayed Joseph with some shampoo.,with-applicative
35,Bob stained Edward with some gin.,with-applicative
36,Andrew passed David some slime.,ditransitive
36,Jerry gave Sam some gasoline.,ditransitive
36,Bill served John some soup.,ditransitive
36,Jason lent Edward some whisky.,ditransitive
36,Aaron tossed some wine to Harry.,to-dative
36,Chris offered some soda to Bob.,to-dative
36,George threw some gin to Mike.,to-dative
36,Jack sent some paint to Joe.,to-dative
36,Joseph sprinkled some milk on Steve.,caused-motion
36,Charlie spilled some syrup on Eddie.,caused-motion
36,Tom splashed some tea on William.,caused-motion
36,Mark dropped some ink on Paul.,caused-motion
36,Thomas covered Don with some beer.,with-applicative
36,Doug stained Dylan with some shampoo.,with-applicative
36,Bruce rubbed Adam with some oil.,with-applicative
36,Fred coated Henry with some blood.,with-applicative
37,Doug brought Henry some slime.,ditransitive
37,Tom bought Charlie some wine.,ditransitive
37,Mark sent Andrew some soda.,ditransitive
37,Harry handed Mike some milk.,ditransitive
37,Steve passed some acid to George.,to-dative
37,Paul tossed some beer to Aaron.,to-dative
37,Thomas chucked some bleach to William.,to-dative
37,Joe offered some tea to Chris.,to-dative
37,Bruce dumped some vodka on Fred.,caused-motion
37,Edward sprinkled some shampoo on Frank.,caused-motion
37,John sprayed some whisky on Joseph.,caused-motion
37,Don spilled some juice on Jerry.,caused-motion
37,Eric covered Sam with some blood.,with-applicative
37,Jack dabbed Dylan with some gin.,with-applicative
37,Bob stained James with some gasoline.,with-applicative
37,Bill coated Adam with some coffee.,with-applicative
38,Mike threw Sam some vodka.,ditransitive
38,David bought Frank some whisky.,ditransitive
38,Fred handed Jack some acid.,ditransitive
38,Mark lent Henry some yogurt.,ditransitive
38,Eddie passed some coffee to George.,to-dative
38,James offered some bleach to Eric.,to-dative
38,Doug kicked some milk to Andrew.,to-dative
38,Tom sent some water to Michael.,to-dative
38,Edward sprayed some slime on Adam.,caused-motion
38,Harry dumped some honey on Joe.,caused-motion
38,Jerry dropped some ink on Charlie.,caused-motion
38,Bob spilled some shampoo on Bill.,caused-motion
38,Paul stained Joseph with some wine.,with-applicative
38,Chris plastered Dylan with some juice.,with-applicative
38,Thomas dabbed John with some paint.,with-applicative
